,_id,dezenas,premiacoes
23,"{'loteria': 'super-sete', 'concurso': 24}","['6', '9', '5', '9', '2', '1', '5']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '30.251,81'}, {'acertos': '5 Pontos', 'vencedores': 67, 'premio': '1.290,05'}, {'acertos': '4 Pontos', 'vencedores': 1164, 'premio': '74,25'}, {'acertos': '3 Pontos', 'vencedores': 11642, 'premio': '5,00'}]"
24,"{'loteria': 'super-sete', 'concurso': 25}","['8', '4', '8', '9', '5', '0', '8']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '30.991,80'}, {'acertos': '5 Pontos', 'vencedores': 63, 'premio': '1.405,52'}, {'acertos': '4 Pontos', 'vencedores': 1221, 'premio': '72,52'}, {'acertos': '3 Pontos', 'vencedores': 12022, 'premio': '5,00'}]"
25,"{'loteria': 'super-sete', 'concurso': 26}","['9', '5', '2', '1', '5', '9', '0']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '31.929,23'}, {'acertos': '5 Pontos', 'vencedores': 82, 'premio': '1.112,51'}, {'acertos': '4 Pontos', 'vencedores': 1387, 'premio': '65,77'}, {'acertos': '3 Pontos', 'vencedores': 13751, 'premio': '5,00'}]"
26,"{'loteria': 'super-sete', 'concurso': 27}","['7', '9', '8', '6', '1', '1', '6']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '30.541,31'}, {'acertos': '5 Pontos', 'vencedores': 77, 'premio': '1.133,25'}, {'acertos': '4 Pontos', 'vencedores': 1178, 'premio': '74,07'}, {'acertos': '3 Pontos', 'vencedores': 11495, 'premio': '5,00'}]"
27,"{'loteria': 'super-sete', 'concurso': 28}","['3', '3', '4', '6', '9', '6', '3']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 4, 'premio': '14.858,76'}, {'acertos': '5 Pontos', 'vencedores': 86, 'premio': '987,29'}, {'acertos': '4 Pontos', 'vencedores': 1587, 'premio': '53,50'}, {'acertos': '3 Pontos', 'vencedores': 14420, 'premio': '5,00'}]"
28,"{'loteria': 'super-sete', 'concurso': 29}","['5', '0', '7', '2', '9', '9', '0']","[{'acertos': '7 Pontos', 'vencedores': 1, 'premio': '2.245.237,82'}, {'acertos': '6 Pontos', 'vencedores': 8, 'premio': '8.117,97'}, {'acertos': '5 Pontos', 'vencedores': 108, 'premio': '859,04'}, {'acertos': '4 Pontos', 'vencedores': 1801, 'premio': '51,51'}, {'acertos': '3 Pontos', 'vencedores': 14862, 'premio': '5,00'}]"
29,"{'loteria': 'super-sete', 'concurso': 30}","['2', '1', '1', '6', '8', '6', '7']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 5, 'premio': '8.922,31'}, {'acertos': '5 Pontos', 'vencedores': 85, 'premio': '749,77'}, {'acertos': '4 Pontos', 'vencedores': 1164, 'premio': '54,75'}, {'acertos': '3 Pontos', 'vencedores': 11089, 'premio': '5,00'}]"
30,"{'loteria': 'super-sete', 'concurso': 31}","['4', '1', '5', '5', '3', '5', '6']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 4, 'premio': '10.696,54'}, {'acertos': '5 Pontos', 'vencedores': 68, 'premio': '898,86'}, {'acertos': '4 Pontos', 'vencedores': 1033, 'premio': '59,17'}, {'acertos': '3 Pontos', 'vencedores': 10164, 'premio': '5,00'}]"
31,"{'loteria': 'super-sete', 'concurso': 32}","['6', '2', '9', '0', '9', '7', '8']","[{'acertos': '7 Pontos', 'vencedores': 1, 'premio': '477.339,24'}, {'acertos': '6 Pontos', 'vencedores': 0, 'premio': '0,00'}, {'acertos': '5 Pontos', 'vencedores': 60, 'premio': '1.018,68'}, {'acertos': '4 Pontos', 'vencedores': 938, 'premio': '65,16'}, {'acertos': '3 Pontos', 'vencedores': 8975, 'premio': '5,00'}]"
32,"{'loteria': 'super-sete', 'concurso': 33}","['1', '8', '3', '6', '2', '2', '2']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '19.133,08'}, {'acertos': '5 Pontos', 'vencedores': 71, 'premio': '769,94'}, {'acertos': '4 Pontos', 'vencedores': 1046, 'premio': '52,26'}, {'acertos': '3 Pontos', 'vencedores': 9189, 'premio': '5,00'}]"
